station_name,station_descriptive_name,map_id,ada,red,blue,g,brn,p,pexp,y,pnk,o,latitude,longitude,direction_n,direction_s,direction_e,direction_w,num_lines
LaSalle,LaSalle (Blue Line),41340,False,0,1,0,0,0,0,0,0,0,41.875568,-87.631722,0,0,1,1,1
Kostner,Kostner (Pink Line),40600,True,0,0,0,0,0,0,0,1,0,41.853751,-87.733258,0,0,1,1,1
King Drive,King Drive (Green Line),41140,True,0,0,1,0,0,0,0,0,0,41.78013,-87.615546,0,0,1,1,1
Kimball,Kimball (Brown Line),41290,True,0,0,0,1,0,0,0,0,0,41.967901,-87.713065,1,1,0,0,1
Kedzie-Homan,Kedzie-Homan (Blue Line),40250,True,0,1,0,0,0,0,0,0,0,41.874341,-87.70604,0,0,1,1,1
Kedzie,Kedzie (Pink Line),41040,True,0,0,0,0,0,0,0,1,0,41.853964,-87.705408,0,0,1,1,1
Oakton-Skokie,Oakton-Skokie (Yellow Line),41680,True,0,0,0,0,0,0,1,0,0,42.02624348,-87.74722084,1,1,0,0,1
Pulaski,Pulaski (Blue Line),40920,False,0,1,0,0,0,0,0,0,0,41.873797,-87.725663,0,0,1,1,1
Polk,Polk (Pink Line),41030,True,0,0,0,0,0,0,0,1,0,41.871551,-87.66953,0,0,1,1,1
Kedzie,Kedzie (Green Line),41070,True,0,0,1,0,0,0,0,0,0,41.884321,-87.706155,0,0,1,1,1
Western,Western (Pink Line),40740,True,0,0,0,0,0,0,0,1,0,41.854225,-87.685129,0,0,1,1,1
Western,Western (Orange Line),40310,True,0,0,0,0,0,0,0,0,1,41.804546,-87.684019,1,1,0,0,1
Western,Western (Brown Line),41480,True,0,0,0,1,0,0,0,0,0,41.966163,-87.688502,1,1,0,0,1
Western,Western (Blue Line - O'Hare Branch),40670,True,0,1,0,0,0,0,0,0,0,41.916157,-87.687364,1,1,0,0,1
Western,Western (Blue Line - Forest Park Branch),40220,False,0,1,0,0,0,0,0,0,0,41.875478,-87.688436,0,0,1,1,1
35th/Archer,35th/Archer (Orange Line),40120,True,0,0,0,0,0,0,0,0,1,41.829353,-87.680622,1,1,0,0,1
43rd,43rd (Green Line),41270,True,0,0,1,0,0,0,0,0,0,41.816462,-87.619021,1,1,0,0,1
47th,47th (Green Line),41080,True,0,0,1,0,0,0,0,0,0,41.809209,-87.618826,1,1,0,0,1
Washington,Washington (Blue Line),40370,False,0,1,0,0,0,0,0,0,0,41.883164,-87.62944,1,1,0,0,1
UIC-Halsted,UIC-Halsted (Blue Line),40350,True,0,1,0,0,0,0,0,0,0,41.875474,-87.649707,0,0,1,1,1
Thorndale,Thorndale (Red Line),40880,False,1,0,0,0,0,0,0,0,0,41.990259,-87.659076,1,1,0,0,1
47th,47th (Red Line),41230,True,1,0,0,0,0,0,0,0,0,41.810318,-87.63094,1,1,0,0,1
Sox-35th,Sox-35th (Red Line),40190,True,1,0,0,0,0,0,0,0,0,41.831191,-87.630636,1,1,0,0,1
Southport,Southport (Brown Line),40360,True,0,0,0,1,0,0,0,0,0,41.943744,-87.663619,1,1,0,0,1
South Boulevard,South Boulevard (Purple Line),40840,False,0,0,0,0,0,0,0,0,0,42.027612,-87.678329,1,1,0,0,1
Sheridan,Sheridan (Red Line),40080,False,1,0,0,0,0,0,0,0,0,41.953775,-87.654929,1,1,0,0,1
51st,51st (Green Line),40130,True,0,0,1,0,0,0,0,0,0,41.80209,-87.618487,1,1,0,0,1
Rosemont,Rosemont (Blue Line),40820,True,0,1,0,0,0,0,0,0,0,41.983507,-87.859388,1,1,0,0,1
54th/Cermak,54th/Cermak (Pink Line),40580,True,0,0,0,0,0,0,0,1,0,41.85177331,-87.75669201,0,0,1,1,1
63rd,63rd (Red Line),40910,True,1,0,0,0,0,0,0,0,0,41.780536,-87.630952,1,1,0,0,1
Rockwell,Rockwell (Brown Line),41010,True,0,0,0,1,0,0,0,0,0,41.966115,-87.6941,1,1,0,0,1
Ridgeland,Ridgeland (Green Line),40610,False,0,0,1,0,0,0,0,0,0,41.887159,-87.783661,0,0,1,1,1
Racine,Racine (Blue Line),40470,False,0,1,0,0,0,0,0,0,0,41.87592,-87.659458,0,0,1,1,1
69th,69th (Red Line),40990,True,1,0,0,0,0,0,0,0,0,41.768367,-87.625724,1,1,0,0,1
Pulaski,Pulaski (Pink Line),40150,True,0,0,0,0,0,0,0,1,0,41.853732,-87.724311,0,0,1,1,1
Pulaski,Pulaski (Orange Line),40960,True,0,0,0,0,0,0,0,0,1,41.799756,-87.724493,1,1,0,0,1
Pulaski,Pulaski (Green Line),40030,True,0,0,1,0,0,0,0,0,0,41.885412,-87.725404,0,0,1,1,1
Kedzie,Kedzie (Orange Line),41150,True,0,0,0,0,0,0,0,0,1,41.804236,-87.704406,1,1,0,0,1
Jefferson Park,Jefferson Park (Blue Line),41280,True,0,1,0,0,0,0,0,0,0,41.970634,-87.760892,1,1,0,0,1
Kedzie,Kedzie (Brown Line),41180,True,0,0,0,1,0,0,0,0,0,41.965996,-87.708821,1,1,0,0,1
Damen,Damen (Pink Line),40210,True,0,0,0,0,0,0,0,1,0,41.854517,-87.675975,0,0,1,1,1
Damen,Damen (Brown Line),40090,True,0,0,0,1,0,0,0,0,0,41.966286,-87.678639,1,1,0,0,1
Damen,Damen (Blue Line),40590,False,0,1,0,0,0,0,0,0,0,41.909744,-87.677437,1,1,0,0,1
Cumberland,Cumberland (Blue Line),40230,True,0,1,0,0,0,0,0,0,0,41.984246,-87.838028,1,1,0,0,1
Cottage Grove,Cottage Grove (Green Line),40720,True,0,0,1,0,0,0,0,0,0,41.780309,-87.605857,0,0,1,1,1
Conservatory,Conservatory (Green Line),41670,True,0,0,1,0,0,0,0,0,0,41.884904,-87.716523,0,0,1,1,1
Argyle,Argyle (Red Line),41200,False,1,0,0,0,0,0,0,0,0,41.973453,-87.65853,1,1,0,0,1
Clinton,Clinton (Blue Line),40430,False,0,1,0,0,0,0,0,0,0,41.875539,-87.640984,0,0,1,1,1
Clark/Division,Clark/Division (Red Line),40630,True,1,0,0,0,0,0,0,0,0,41.90392,-87.631412,1,1,0,0,1
Cicero,Cicero (Pink Line),40420,True,0,0,0,0,0,0,0,1,0,41.85182,-87.745336,0,0,1,1,1
Cicero,Cicero (Green Line),40480,True,0,0,1,0,0,0,0,0,0,41.886519,-87.744698,0,0,1,1,1
Cicero,Cicero (Blue Line),40970,False,0,1,0,0,0,0,0,0,0,41.871574,-87.745154,0,0,1,1,1
Chicago,Chicago (Red Line),41450,True,1,0,0,0,0,1,0,0,0,41.896671,-87.628176,1,1,0,0,1
Chicago,Chicago (Blue Line),41410,False,0,1,0,0,0,1,0,0,0,41.896075,-87.655214,1,1,0,0,1
Cermak-McCormick Place,Cermak-McCormick Place (Green Line),41690,True,0,0,1,0,0,0,0,0,0,41.853115,-87.626402,1,1,0,0,1
Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,True,1,0,0,0,0,0,0,0,0,41.853206,-87.630968,1,1,0,0,1
Central Park,Central Park (Pink Line),40780,True,0,0,0,0,0,0,0,1,0,41.853839,-87.714842,0,0,1,1,1
Central,Central (Purple Line),41250,False,0,0,0,0,1,0,0,0,0,42.063987,-87.685617,1,1,0,0,1
Central,Central (Green Line),40280,True,0,0,1,0,1,0,0,0,0,41.887389,-87.76565,0,0,1,1,1
California,California (Pink Line),40440,True,0,0,0,0,0,0,0,1,0,41.854109,-87.694774,0,0,1,1,1
California,California (Green Line),41360,True,0,0,1,0,0,0,0,0,0,41.88422,-87.696234,0,0,1,1,1
California,California (Blue Line),40570,False,0,1,0,0,0,0,0,0,0,41.921939,-87.69689,1,0,0,0,1
California,California  (Blue Line),40570,False,0,1,0,0,0,0,0,0,0,41.921939,-87.69689,0,1,0,0,1
Bryn Mawr,Bryn Mawr (Red Line),41380,False,1,0,0,0,0,0,0,0,0,41.983504,-87.65884,1,1,0,0,1
Berwyn,Berwyn (Red Line),40340,False,1,0,0,0,0,0,0,0,0,41.977984,-87.658668,1,1,0,0,1
Ashland,Ashland (Orange Line),41060,True,0,0,0,0,0,0,0,0,1,41.839234,-87.665317,1,1,0,0,1
Belmont,Belmont (Blue Line),40060,False,0,1,0,0,0,1,0,0,0,41.938132,-87.712359,1,1,0,0,1
Austin,Austin (Green Line),41260,False,0,0,1,0,0,0,0,0,0,41.887293,-87.774135,0,0,1,1,1
Damen,Damen (Green Line),41710,True,0,0,1,0,0,0,0,0,0,41.88497405,-87.67689149,0,0,1,1,1
Davis,Davis (Purple Line),40050,True,0,0,0,0,1,0,0,0,0,42.04771,-87.683543,1,1,0,0,1
Austin,Austin (Blue Line),40010,False,0,1,0,0,0,0,0,0,0,41.870851,-87.776812,0,0,1,1,1
Dempster,Dempster (Purple Line),40690,False,0,0,0,0,1,0,0,0,0,42.041655,-87.681602,1,1,0,0,1
Jarvis,Jarvis (Red Line),41190,False,1,0,0,0,0,0,0,0,0,42.015876,-87.669092,1,1,0,0,1
Jackson,Jackson (Red Line),40560,True,1,0,0,0,0,0,0,0,0,41.878153,-87.627596,1,1,0,0,1
Jackson,Jackson (Blue Line),40070,True,0,1,0,0,0,0,0,0,0,41.878183,-87.629296,1,1,0,0,1
